datetime,dengue_cases,tempmax,tempmin,temp,humidity,precip,precipcover,number_of_searches,total_population
2014-09-28,339,32.6,25.87142857142857,28.928571428571427,73.5,4.030571428571428,2.9757142857142855,23,5469724.0
2014-10-05,278,32.17142857142857,26.02857142857143,29.014285714285712,73.48571428571428,0.7441428571428571,1.19,20,5469724.0
2014-10-12,297,32.5,26.957142857142856,29.37142857142857,71.75714285714285,0.02428571428571429,0.5957142857142858,20,5469724.0
2014-10-19,213,32.75714285714286,25.62857142857143,28.5,78.39999999999999,4.638428571428571,3.5714285714285716,20,5469724.0
2014-10-26,186,32.2,25.814285714285713,28.657142857142855,76.3,1.2401428571428572,3.5714285714285716,20,5469724.0
2014-11-02,168,32.91428571428571,25.814285714285713,28.67142857142857,77.74285714285715,8.681714285714285,4.761428571428572,16,5469724.0
2014-11-09,158,32.285714285714285,25.02857142857143,28.085714285714285,78.57142857142857,12.104857142857144,8.928571428571429,16,5469724.0
2014-11-16,149,32.142857142857146,24.985714285714288,27.400000000000002,81.88571428571427,12.143285714285714,8.331428571428571,16,5469724.0
2014-11-23,162,31.428571428571427,25.37142857142857,27.47142857142857,84.18571428571428,1.7247142857142859,5.358571428571429,16,5469724.0
2014-11-30,212,31.928571428571427,25.3,27.82857142857143,81.97142857142856,5.609000000000001,6.547142857142857,16,5469724.0
2014-12-07,177,31.614285714285717,24.87142857142857,27.728571428571428,79.72857142857143,13.32042857142857,5.951428571428571,16,5469724.0
2014-12-14,198,32.042857142857144,25.8,28.32857142857143,76.42857142857143,0.24442857142857144,1.1914285714285715,16,5469724.0
2014-12-21,188,30.8,25.314285714285713,27.271428571428572,83.81428571428572,5.057571428571428,7.142857142857143,16,5469724.0
2014-12-28,158,30.0,24.642857142857142,26.67142857142857,86.24285714285715,11.851142857142857,8.930000000000001,16,5469724.0
2015-01-04,256,29.37142857142857,24.7,26.771428571428572,78.47142857142856,0.31828571428571434,2.3814285714285717,16,5535002.0
2015-01-11,228,30.785714285714285,24.8,26.8,82.04285714285713,9.699,6.545714285714285,16,5535002.0
2015-01-18,237,31.514285714285712,24.5,27.571428571428573,73.51428571428572,0.0,0.0,16,5535002.0
2015-01-25,259,30.342857142857145,24.685714285714287,26.957142857142856,75.10000000000001,0.0,0.0,16,5535002.0
2015-02-01,212,31.285714285714285,24.52857142857143,27.2,74.8,0.0,0.0,14,5535002.0
2015-02-08,173,29.400000000000002,24.342857142857138,26.514285714285712,78.04285714285713,1.8158571428571426,4.762857142857143,14,5535002.0
2015-02-15,99,31.12857142857143,24.085714285714285,26.87142857142857,72.52857142857142,0.0,0.0,14,5535002.0
2015-02-22,172,32.042857142857144,24.599999999999998,27.557142857142857,75.32857142857142,0.521,1.19,14,5535002.0
2015-03-01,189,32.74285714285715,24.957142857142856,28.0,74.97142857142856,0.0,0.0,14,5535002.0
2015-03-08,110,33.042857142857144,25.385714285714283,28.314285714285713,73.88571428571429,1.7362857142857142,1.19,14,5535002.0
2015-03-15,91,31.342857142857145,25.414285714285715,27.785714285714285,75.45714285714287,5.829285714285715,1.7857142857142858,14,5535002.0
2015-03-22,129,32.98571428571429,25.62857142857143,28.428571428571427,77.37142857142858,0.7441428571428571,0.5957142857142858,14,5535002.0
2015-03-29,90,32.114285714285714,26.3,28.62857142857143,76.0,1.1658571428571427,1.7857142857142858,14,5535002.0
2015-04-05,107,32.714285714285715,25.814285714285713,28.17142857142857,81.44285714285715,5.482142857142857,4.761428571428572,15,5535002.0
2015-04-12,137,33.18571428571428,26.428571428571427,29.099999999999998,76.31428571428572,0.2977142857142857,1.7857142857142858,15,5535002.0
2015-04-19,113,33.7,26.37142857142857,29.52857142857143,72.32857142857144,0.124,1.1914285714285715,15,5535002.0
2015-04-26,120,33.41428571428572,26.0,28.599999999999998,76.38571428571429,2.8774285714285717,2.9757142857142855,15,5535002.0
2015-05-03,135,31.942857142857143,25.271428571428572,27.957142857142856,81.32857142857142,4.855857142857142,4.762857142857143,17,5535002.0
2015-05-10,157,32.72857142857143,26.74285714285714,28.97142857142857,78.24285714285715,1.3892857142857142,2.382857142857143,17,5535002.0
2015-05-17,109,32.44285714285714,26.74285714285714,29.099999999999998,78.27142857142857,3.572,2.3814285714285717,17,5535002.0
2015-05-24,178,31.685714285714287,26.62857142857143,28.8,80.08571428571429,1.3464285714285715,3.5714285714285716,17,5535002.0
2015-05-31,151,32.714285714285715,26.985714285714288,29.400000000000002,75.31428571428572,0.248,1.7857142857142858,17,5535002.0
2015-06-07,192,33.357142857142854,26.75714285714286,29.25714285714286,75.75714285714285,7.2418571428571425,4.168571428571428,18,5535002.0
2015-06-14,207,31.285714285714285,26.25714285714286,28.314285714285713,79.10000000000001,4.192142857142857,4.762857142857143,18,5535002.0
2015-06-21,240,31.785714285714285,26.857142857142858,29.099999999999998,75.71428571428571,0.5457142857142857,1.1914285714285715,18,5535002.0
2015-06-28,242,33.114285714285714,27.97142857142857,30.17142857142857,70.97142857142858,1.6122857142857143,0.5957142857142858,18,5535002.0
2015-07-05,272,31.900000000000002,26.32857142857143,29.342857142857145,73.45714285714287,3.5222857142857142,2.3814285714285717,20,5535002.0
2015-07-12,263,32.27142857142857,26.714285714285715,29.457142857142856,74.81428571428572,4.167285714285715,2.382857142857143,20,5535002.0
2015-07-19,293,32.24285714285714,27.157142857142855,29.5,76.21428571428571,6.002857142857143,2.3814285714285717,20,5535002.0
2015-07-26,250,32.68571428571429,27.17142857142857,29.514285714285712,72.44285714285715,0.521,1.7857142857142858,20,5535002.0
2015-08-02,226,32.285714285714285,26.37142857142857,28.714285714285715,73.42857142857143,0.4215714285714286,2.9757142857142855,16,5535002.0
2015-08-09,221,30.37142857142857,24.685714285714287,27.62857142857143,80.84285714285714,12.055428571428573,7.1414285714285715,16,5535002.0
2015-08-16,250,31.62857142857143,26.657142857142855,28.771428571428572,78.22857142857143,7.2777142857142865,4.167142857142857,16,5535002.0
2015-08-23,225,32.285714285714285,27.02857142857143,29.285714285714285,72.77142857142857,0.0,0.0,16,5535002.0
2015-08-30,246,32.3,27.057142857142857,29.2,74.11428571428571,2.867142857142857,2.3814285714285717,16,5535002.0
2015-09-06,217,32.48571428571429,27.228571428571428,29.5,71.81428571428572,0.05342857142857143,1.19,18,5535002.0
2015-09-13,303,32.01428571428571,26.114285714285717,28.857142857142858,72.21428571428571,2.2324285714285717,1.19,18,5535002.0
2015-09-20,214,31.642857142857142,26.714285714285715,28.785714285714285,77.10000000000001,4.465,2.38,18,5535002.0
2015-09-27,257,32.44285714285714,26.82857142857143,29.157142857142855,73.54285714285713,0.6450000000000001,1.1914285714285715,18,5535002.0
2015-10-04,235,32.31428571428571,25.585714285714285,28.585714285714285,77.92857142857143,3.6432857142857142,4.1657142857142855,17,5535002.0
2015-10-11,235,32.67142857142857,26.214285714285715,28.928571428571427,75.75714285714285,2.455714285714286,2.3814285714285717,17,5535002.0
2015-10-18,224,33.31428571428571,26.785714285714285,29.599999999999998,71.71428571428571,1.3501428571428573,1.7857142857142858,17,5535002.0
2015-10-25,246,32.871428571428574,27.1,29.599999999999998,72.89999999999999,1.4867142857142857,1.7857142857142858,17,5535002.0
2015-11-01,266,32.57142857142857,25.52857142857143,28.485714285714288,76.45714285714287,5.315428571428571,8.334285714285715,17,5535002.0
2015-11-08,198,32.357142857142854,25.857142857142858,28.414285714285715,78.01428571428572,1.6625714285714286,5.357142857142857,17,5535002.0
2015-11-15,254,32.271428571428565,25.87142857142857,28.314285714285713,79.51428571428572,1.562857142857143,3.5728571428571425,17,5535002.0
2015-11-22,285,31.714285714285715,25.685714285714283,28.142857142857142,79.84285714285714,2.0374285714285714,5.952857142857143,17,5535002.0
2015-11-29,259,32.57142857142857,25.385714285714283,28.142857142857142,80.02857142857144,5.149857142857143,10.118571428571428,17,5535002.0
2015-12-06,356,32.65714285714286,25.47142857142857,28.014285714285712,83.18571428571428,8.273571428571428,5.951428571428571,23,5535002.0
2015-12-13,333,31.771428571428572,25.442857142857143,27.87142857142857,83.97142857142856,16.46014285714286,11.904285714285715,23,5535002.0
2015-12-20,372,31.614285714285717,25.87142857142857,28.228571428571428,76.07142857142857,1.3365714285714285,4.1657142857142855,23,5535002.0
2015-12-27,458,32.34285714285714,25.657142857142855,28.47142857142857,77.8,9.089285714285714,4.167142857142857,23,5535002.0
2016-01-03,549,30.0,24.942857142857143,27.228571428571428,84.82857142857142,18.99742857142857,19.047142857142855,42,5607283.0
2016-01-10,628,32.7,26.2,28.914285714285715,77.77142857142857,0.4228571428571429,2.3814285714285717,42,5607283.0
2016-01-17,635,32.77142857142857,26.52857142857143,28.728571428571428,79.72857142857143,7.136,7.142857142857143,42,5607283.0
2016-01-24,629,32.285714285714285,26.685714285714283,28.8,78.39999999999999,0.8257142857142857,5.357142857142857,42,5607283.0
2016-01-31,528,32.58571428571428,26.442857142857143,28.8,77.7,1.124142857142857,5.3585714285714285,42,5607283.0
2016-02-07,420,31.585714285714285,26.099999999999998,28.47142857142857,78.94285714285715,7.386714285714285,8.928571428571429,43,5607283.0
2016-02-14,592,30.957142857142856,25.8,27.928571428571427,80.02857142857144,1.211857142857143,4.1657142857142855,43,5607283.0
2016-02-21,508,30.914285714285715,25.47142857142857,27.771428571428572,79.45714285714287,10.114714285714285,11.308571428571428,43,5607283.0
2016-02-28,412,31.728571428571428,25.599999999999998,28.2,76.39999999999999,9.046714285714286,2.3814285714285717,43,5607283.0
2016-03-06,396,32.34285714285714,26.62857142857143,28.885714285714283,75.91428571428571,0.08628571428571429,3.5700000000000003,29,5607283.0
